,GrLivArea,BedroomAbvGr,FullBath,HalfBath,SalePrice
294,1644,3,1,0,167000
295,1003,3,1,0,142500
296,1558,4,1,1,152000
297,1950,3,2,1,239000
298,1743,3,1,2,175000
299,1152,3,1,0,158500
300,1336,2,1,0,157000
301,2452,4,2,1,267000
302,1541,3,2,0,205000
303,894,3,1,0,149900
304,3493,3,3,0,295000
305,2000,3,2,0,305900
306,2243,4,2,1,225000
307,1406,3,1,0,89500
308,861,1,1,0,82500
309,1944,3,2,0,360000
310,1501,3,2,1,165600
311,972,2,1,0,132000
312,1118,3,1,0,119900
313,2036,3,2,0,375000
314,1641,3,1,1,178000
315,1432,3,2,1,188500
316,2353,4,2,1,260000
317,1959,3,2,1,270000
318,2646,4,2,1,260000
319,1472,3,2,0,187500
320,2596,4,3,1,342643
321,2468,4,2,1,354000
322,2730,4,2,1,301000
323,1163,3,1,0,126175
324,2978,5,2,1,242000
325,803,2,1,0,87000
326,1719,1,1,1,324000
327,1383,3,1,1,145250
328,2134,5,2,0,214500
329,1192,3,1,0,78000
330,1728,6,2,0,119000
331,1056,3,1,0,139000
332,1629,3,2,0,284000
333,1358,2,2,0,207000
334,1638,3,2,1,192000
335,1786,3,2,0,228950
336,1922,3,2,0,377426
337,1536,3,2,0,214000
338,1621,3,2,0,202500
339,1215,3,1,0,155000
340,1908,4,2,1,202900
341,841,2,1,0,82000
342,1040,2,2,0,87500
343,1684,2,2,0,266000
344,1112,3,1,1,85000
345,1577,3,1,0,140200
346,958,2,1,0,151500
347,1478,3,2,0,157500
348,1626,2,2,1,154000
349,2728,4,2,1,437154
350,1869,2,2,0,318061
351,1453,2,1,1,190000
352,1111,3,1,0,95000
353,720,2,1,0,105900
354,1595,2,1,0,140000
355,1200,3,2,0,177500
356,1167,3,2,0,173000
357,1142,3,1,1,134000
358,1352,3,1,0,130000
359,1924,3,2,1,280000
360,912,2,1,0,156000
361,1505,3,1,0,145000
362,1922,4,3,0,198500
363,987,2,1,1,118000
364,1574,3,2,1,190000
365,1344,3,1,0,147000
366,1394,3,1,1,159000
367,1431,3,1,0,165000
368,1268,2,1,0,132000
369,1287,3,1,0,162000
370,1664,3,2,1,172400
371,1588,4,2,0,134432
372,752,2,1,0,125000
373,1319,3,1,0,123000
374,1928,4,2,1,219500
375,904,1,0,1,61000
376,914,2,1,0,148000
377,2466,4,3,0,340000
378,1856,1,1,1,394432
379,1800,3,2,1,179000
380,1691,3,2,0,127000
381,1301,2,2,0,187750
382,1797,3,2,1,213500
383,784,2,1,0,76000
384,1953,3,2,1,240000
385,1269,2,2,0,192000
386,1184,5,1,0,81000
387,1125,3,1,0,125000
388,1479,3,2,0,191000
389,2332,3,2,1,426000
390,1367,4,1,0,119000
391,1961,3,2,1,215000
392,882,3,1,0,106500
393,788,2,1,0,100000
394,1034,2,1,0,109000
395,1144,3,1,0,129000
396,894,2,1,0,123000
397,1812,4,2,0,169500
398,1077,2,1,0,67000
399,1550,2,2,0,241000
400,1288,1,1,1,245500
401,1310,3,2,0,164990
402,672,2,1,0,108000
403,2263,4,2,1,258000
404,1572,3,2,1,168000
405,1620,3,2,0,150000
406,1639,3,1,0,115000
407,1680,4,2,0,177000
408,2172,3,2,1,280000
409,2078,3,2,1,339750
410,1276,3,1,0,60000
411,1056,3,1,0,145000
412,1478,2,2,1,222000
413,1028,2,1,0,115000
414,2097,3,2,1,228000
415,1340,3,2,0,181134
416,1400,3,1,1,149500
417,2624,4,2,1,239000
418,1134,3,1,1,126000
419,1056,3,1,0,142000
420,1344,2,2,0,206300
421,1602,3,2,0,215000
422,988,2,1,0,113000
423,2630,4,2,1,315000
424,1196,2,1,0,139000
425,1389,3,1,1,135000
426,1644,2,2,0,275000
427,907,3,1,0,109008
428,1208,2,2,0,195400
429,1412,3,2,0,175000
430,987,2,1,1,85400
431,1198,4,1,0,79900
432,1365,2,1,1,122500
433,1604,3,2,1,181000
434,630,1,1,0,81000
435,1661,3,2,1,212000
436,1118,2,1,0,116000
437,904,2,1,0,119000
438,694,2,1,0,90350
439,1196,3,1,0,110000
440,2402,2,2,0,555000
441,1440,4,2,0,118000
442,1573,3,2,0,162900
443,1258,2,2,0,172500
444,1908,4,2,1,210000
445,1689,3,1,0,127500
446,1888,2,2,1,190000
447,1886,4,2,1,199900
448,1376,3,2,0,119500
449,1183,2,1,1,120000
450,813,2,1,0,110000
451,1533,2,2,0,280000
452,1756,3,2,1,204000
453,1590,3,2,1,210000
454,1728,4,2,0,188000
455,1242,3,1,1,175500
456,1344,4,1,0,98000
457,1663,2,1,0,256000
458,1666,3,1,0,161000
459,1203,3,1,0,110000
460,1935,3,2,1,263435
461,1135,3,1,0,155000
462,864,3,1,0,62383
463,1660,3,1,1,188700
464,1040,3,2,0,124000
465,1414,2,2,0,178740
466,1277,2,1,0,167000
467,1644,3,1,1,146500
468,1634,3,2,0,250000
469,1710,3,2,1,187000
470,1502,1,1,1,212000
471,1969,3,2,1,190000
472,1072,2,1,0,148000
473,1976,2,2,0,440000
474,1652,2,2,0,251000
475,970,2,1,0,132500
476,1493,3,2,0,208900
477,2643,3,2,1,380000
478,1718,3,2,0,297000
479,1131,2,1,0,89471
480,1850,3,2,0,326000
481,1792,2,2,0,374000
482,1826,4,1,1,155000
483,1216,2,2,0,164000
484,999,3,1,0,132500
485,1113,3,1,0,147000
486,1073,3,1,1,156000
487,1484,3,2,0,175000
488,2414,3,2,0,160000
489,630,1,1,0,86000
490,1304,3,1,1,115000
491,1578,3,1,0,133000
492,1456,3,2,1,172785
493,1269,3,1,1,155000
494,886,2,1,0,91300
495,720,2,1,0,34900
496,3228,4,3,0,430000
497,1820,4,2,0,184000
498,899,3,1,0,130000
499,912,2,1,0,120000
500,1218,3,1,1,113000
501,1768,3,2,1,226700
502,1214,2,1,0,140000
503,1801,1,2,0,289000
504,1322,3,2,1,147000
505,1960,4,2,0,124500
506,1911,3,2,1,215000
507,1218,2,2,0,208300
508,1378,3,2,0,161000
509,1041,3,1,0,124500
510,1363,2,1,0,164900
511,1368,2,2,0,202665
512,864,3,1,0,129900
513,1080,3,1,1,134000
514,789,2,1,0,96500
515,2020,3,2,1,402861
516,2119,3,2,1,158000
517,2344,3,2,1,265000
518,1796,3,2,1,211000
519,2080,3,1,1,234000
520,1294,3,2,0,106250
521,1244,3,1,1,150000
522,1664,3,2,0,159000
523,4676,3,3,1,184750
524,2398,3,2,1,315750
525,1266,3,2,0,176000
526,928,2,1,0,132000
527,2713,3,2,1,446261
528,605,2,1,0,86000
529,2515,4,3,0,200624
530,1509,3,2,0,175000
531,1362,3,2,0,128000
532,827,2,1,0,107500
533,334,1,1,0,39300
534,1414,3,2,1,178000
535,1347,3,1,0,107500
536,1724,3,2,1,188000
537,864,3,1,0,111250
538,1159,3,1,1,158000
539,1601,3,2,0,272000
540,1838,2,2,0,315000
541,2285,4,2,1,248000
542,1680,3,2,0,213250
543,767,1,1,0,133000
544,1496,3,2,1,179665
545,2183,4,2,1,229000
546,1635,3,1,1,210000
547,768,2,1,0,129500
548,825,2,1,0,125000
549,2094,4,2,1,263000
550,1069,2,2,0,140000
551,928,3,1,0,112500
552,1717,3,2,0,255500
553,1126,2,2,0,108000
554,2046,3,2,1,284000
555,1048,2,1,0,113000
556,1092,2,1,0,141000
557,1336,3,1,1,108000
558,1446,3,2,1,175000
559,1557,2,2,0,234000
560,1392,3,1,1,121500
561,1389,2,1,0,170000
562,996,3,1,0,108000
563,1674,4,2,0,185000
564,2295,4,2,1,268000
565,1647,4,1,1,128000
566,2504,4,2,1,325000
567,1535,3,2,0,214000
568,2132,1,1,1,316600
569,943,2,1,0,135960
570,1728,6,2,0,142600
571,864,2,1,0,120000
572,1692,3,2,1,224500
573,1430,3,2,1,170000
574,1109,3,1,0,139000
575,1216,2,1,0,118500
576,1477,3,2,0,145000
577,1320,3,1,0,164500
578,1392,2,2,0,146000
579,1795,4,2,0,131500
580,1429,3,1,0,181900
581,2042,3,2,1,253293
582,816,3,1,0,118500
583,2775,3,3,1,325000
584,1573,3,1,0,133000
585,2028,2,2,0,369900
586,838,2,1,0,130000
587,860,2,1,0,137000
588,1473,1,1,0,143000
589,935,2,1,0,79500
590,1582,3,2,1,185900
591,2296,3,2,1,451950
592,816,2,1,0,138000
593,848,1,1,0,140000
594,924,3,1,0,110000
595,1826,3,2,0,319000
596,1368,3,1,0,114504
597,1402,2,0,2,194201
598,1647,3,2,0,217500
599,1556,3,2,1,151000
600,1904,3,2,1,275000
601,1375,3,1,1,141000
602,1915,3,2,1,220000
603,1200,2,2,1,151000
604,1494,3,2,0,221000
605,1986,3,2,1,205000
606,1040,3,1,0,152000
607,2008,3,3,0,225000
608,3194,4,2,1,359100
609,1029,3,1,0,118500
610,2153,3,2,1,313000
611,1032,3,2,0,148000
612,1872,3,2,1,261500
613,1120,3,1,0,147000
614,630,1,1,0,75500
615,1054,3,1,0,137500
616,1509,3,2,1,183200
617,832,2,1,0,105500
618,1828,3,2,0,314813
619,2262,4,2,1,305000
620,864,2,1,0,67000
621,2614,4,2,1,240000
622,980,3,1,0,135000
623,1512,2,2,1,168500
624,1790,4,1,2,165150
625,1116,3,1,1,160000
626,1422,3,1,0,139900
627,1520,3,1,0,153000
628,2080,5,1,2,135000
629,1350,3,1,1,168500
630,1750,3,1,0,124000
631,1554,2,2,0,209500
632,1411,3,2,0,82500
633,1056,3,1,0,139400
634,1056,0,0,0,144000
635,3395,8,2,0,200000
636,800,1,1,0,60000
637,1387,3,2,0,93000
638,796,2,1,0,85000
639,1567,1,2,0,264561
640,1518,1,1,1,274000
641,1929,3,2,1,226000
642,2704,4,2,1,345000
643,1620,4,2,1,152000
644,1766,2,2,1,370878
645,981,3,1,1,143250
646,1048,3,1,0,98300
647,1094,3,1,0,155000
648,1839,4,1,1,155000
649,630,1,1,0,84500
650,1665,3,2,1,205950
651,1510,4,1,0,108000
652,1716,2,2,1,191000
653,1469,3,1,0,135000
654,2113,2,2,1,350000
655,1092,3,1,1,88000
656,1053,3,1,1,145500
657,1502,3,1,1,149000
658,1458,3,1,0,97500
659,1486,3,1,0,167000
660,1935,3,2,1,197900
661,2448,4,2,1,402000
662,1392,2,1,0,110000
663,1181,3,2,0,137500
664,2097,1,1,1,423000
665,1936,3,2,1,230500
666,2380,3,2,1,129000
667,1679,3,2,0,193500
668,1437,3,1,1,168000
669,1180,2,1,0,137500
670,1476,3,2,1,173500
671,1369,3,2,0,103600
672,1208,3,1,1,165000
673,1839,3,2,0,257500
674,1136,3,1,0,140000
675,1441,3,2,1,148500
676,1774,4,2,0,87000
677,792,2,1,0,109500
678,2046,3,2,1,372500
679,988,3,1,0,128500
680,923,2,2,0,143000
681,1520,3,1,0,159434
682,1291,2,1,0,173000
683,1668,3,2,0,285000
684,1839,4,2,1,221000
685,2090,3,2,0,207500
686,1761,3,3,0,227875
687,1102,2,2,1,148800
688,1419,2,2,0,392000
689,1362,2,2,0,194700
690,848,1,1,0,141000
691,4316,4,3,1,755000
692,2519,4,2,1,335000
693,1073,2,1,0,108480
694,1539,3,1,1,141500
695,1137,2,2,0,176000
696,616,2,1,0,89000
697,1148,2,1,0,123500
698,894,3,1,0,138500
699,1391,2,2,0,196000
700,1800,3,2,0,312500
701,1164,3,1,1,140000
702,2576,4,2,1,361919
703,1812,4,2,0,140000
704,1484,3,2,0,213000
705,1092,3,2,0,55000
706,1824,2,2,0,302000
707,1324,2,2,0,254000
708,1456,3,2,1,179540
709,904,3,1,0,109900
710,729,2,1,0,52000
711,1178,2,1,0,102776
712,1228,2,2,0,189000
713,960,3,1,0,129000
714,1479,3,2,1,130500
715,1350,3,2,0,165000
716,2554,3,1,1,159500
717,1178,3,1,1,157000
718,2418,3,2,1,341000
719,971,3,1,1,128500
720,1742,2,2,0,275000
721,848,1,1,0,143000
722,864,3,1,0,124500
723,1470,4,2,0,135000
724,1698,3,2,0,320000
725,864,3,1,0,120500
726,1680,3,2,0,222000
727,1232,2,2,0,194500
728,1776,4,2,0,110000
729,1208,2,1,0,103000
730,1616,2,2,0,236500
731,1146,3,2,0,187500
732,2031,3,2,1,222500
733,1144,3,1,0,131400
734,948,3,1,0,108000
735,1768,2,1,1,163000
736,1040,2,2,0,93500
737,1801,3,2,1,239900
738,1200,3,3,0,179000
739,1728,3,2,1,190000
740,1432,2,2,0,132000
741,912,3,1,0,142000
742,1349,3,2,0,179000
743,1464,3,2,0,175000
744,1337,2,2,0,180000
745,2715,4,3,1,299800
746,2256,4,2,1,236000
747,2640,4,1,1,265979
748,1720,3,2,0,260400
749,1529,4,2,0,98000
750,1140,3,1,0,96500
751,1320,3,2,1,162000
752,1494,3,2,0,217000
753,2098,3,2,1,275500
754,1026,3,1,0,156000
755,1471,3,2,1,172500
756,1768,3,2,1,212000
757,1386,3,2,1,158900
758,1501,3,2,1,179400
759,2531,4,2,1,290000
760,864,2,1,0,127500
761,1301,2,1,0,100000
762,1547,3,2,1,215200
763,2365,3,2,1,337000
764,1494,2,1,1,270000
765,1506,2,2,0,264132
766,1714,3,2,1,196500
767,1750,4,2,0,160000
768,1836,3,2,0,216837
769,3279,4,3,1,538000
770,858,2,1,0,134900
771,1220,2,1,0,102000
772,1117,3,1,0,107000
773,912,2,1,0,114500
774,1973,3,2,0,395000
775,1204,2,2,0,162000
776,1614,3,2,0,221500
777,894,3,1,0,142500
778,2020,4,2,0,144000
779,1004,2,1,0,135000
780,1253,3,2,0,176000
781,1603,3,2,1,175900
782,1430,3,2,0,187100
783,1110,1,1,0,165500
784,1484,3,2,0,128000
785,1342,3,2,0,161500
786,1652,4,2,0,139000
787,2084,4,2,1,233000
788,901,2,1,0,107900
789,2087,5,2,1,187500
790,1145,2,2,0,160200
791,1062,3,1,0,146800
792,2013,3,2,1,269790
793,1496,3,2,0,225000
794,1895,3,2,1,194500
795,1564,3,2,1,171000
796,1285,3,1,1,143500
797,773,2,1,0,110000
798,3140,4,3,1,485000
799,1768,3,1,1,175000
800,1688,4,2,1,200000
801,1196,2,1,0,109900
802,1456,3,2,1,189000
803,2822,4,3,1,582933
804,1128,2,1,0,118000
805,1428,3,2,0,227680
806,980,3,2,0,135500
807,1576,3,1,1,223500
808,1086,3,1,0,159950
809,2138,2,2,0,106000
810,1309,3,1,1,181000
811,848,1,1,0,144500
812,1044,2,1,0,55993
813,1442,4,1,1,157900
814,1250,3,1,1,116000
815,1661,3,2,0,224900
816,1008,2,1,0,137000
817,1689,3,2,0,271000
818,1052,3,1,0,155000
819,1358,2,2,0,224000
820,1640,3,2,1,183000
821,936,2,1,0,93000
822,1733,3,2,1,225000
823,1489,3,2,0,139500
824,1489,3,2,0,232600
825,2084,2,2,0,385000
826,784,2,1,0,109500
827,1434,3,2,0,189000
828,2126,3,2,1,185000
829,1223,2,2,1,147400
830,1392,3,1,1,166000
831,1200,2,2,1,151000
832,1829,3,2,1,237000
833,1516,3,1,1,167000
834,1144,3,1,0,139950
835,1067,2,2,0,128000
836,1559,2,1,0,153500
837,987,2,1,1,100000
838,1099,3,1,1,144000
839,1200,3,1,0,130500
840,1482,4,2,0,140000
841,1539,3,2,0,157500
842,1165,3,1,1,174900
843,1800,6,2,0,141000
844,1416,4,1,1,153900
845,1701,3,2,0,171000
846,1775,3,2,1,213000
847,864,3,1,0,133500
848,2358,5,3,0,240000
849,1855,3,2,1,187000
850,848,1,1,0,131500
851,1456,2,2,0,215000
852,1646,4,2,0,164000
853,1445,3,1,1,158000
854,1779,3,1,1,170000
855,1040,3,1,1,127000
856,1026,3,1,0,147000
857,1481,3,2,1,174000
858,1370,3,2,0,152000
859,2654,4,2,1,250000
860,1426,3,1,1,189950
861,1039,3,1,1,131500
862,1097,3,2,0,152000
863,1148,3,1,0,132500
864,1372,3,2,0,250580
865,1002,3,1,0,148500
866,1646,3,2,0,248900
867,1120,3,1,1,129000
868,2320,2,2,0,169000
869,1949,3,2,1,236000
870,894,2,1,0,109500
871,1682,3,2,1,200500
872,910,3,1,0,116000
873,1268,3,1,0,133000
874,1131,3,1,1,66500
875,2610,4,2,1,303477
876,1040,3,1,0,132250
877,2224,4,2,1,350000
878,1155,3,1,0,148000
879,864,3,1,0,136500
880,1090,2,1,1,157000
881,1717,3,2,1,187500
882,1593,3,2,1,178000
883,2230,5,1,0,118500
884,892,3,1,0,100000
885,1709,2,2,0,328900
886,1712,4,2,0,145000
887,1393,3,1,1,135500
888,2217,4,2,0,268000
889,1505,2,1,0,149500
890,924,3,1,0,122900
891,1683,3,2,1,172500
892,1068,3,1,0,154500
893,1383,3,1,0,165000
894,1535,4,2,0,118858
895,1796,4,1,1,140000
896,951,2,1,0,106500
897,2240,6,2,0,142953
898,2364,2,2,1,611657
899,1236,3,1,0,135000
900,858,2,1,0,110000
901,1306,2,1,0,153000
902,1509,3,2,1,180000
903,1670,3,2,0,240000
904,902,3,1,0,125500
905,1063,3,1,0,128000
906,1636,3,2,0,255000
907,2057,3,1,1,250000
908,902,2,1,0,131000
909,1484,3,2,1,174000
910,2274,5,2,0,154300
911,1268,3,1,1,143500
912,1015,3,1,0,88000
913,2002,4,2,0,145000
914,1224,2,2,1,173733
915,1092,3,1,1,75000
916,480,1,0,0,35311
917,1229,3,1,0,135000
918,2127,4,2,1,238000
919,1414,3,1,0,176500
920,1721,3,2,1,201000
921,2200,4,2,2,145900
922,1316,3,2,0,169990
923,1617,2,2,0,193000
924,1686,3,2,0,207500
925,1126,3,2,0,175000
926,2374,4,2,1,285000
927,1978,4,2,1,176000
928,1788,3,2,0,236500
929,2236,4,2,1,222000
930,1466,3,2,0,201000
931,925,2,1,0,117500
932,1905,3,2,0,320000
933,1500,3,2,0,190000
934,2069,4,2,0,242000
935,747,1,1,0,79900
936,1200,2,2,0,184900
937,1971,3,2,1,253000
938,1962,3,2,1,239799
939,2403,4,2,0,244400
940,1728,4,2,0,150900
941,2060,3,2,1,214000
942,1440,4,2,0,150000
943,1632,4,2,0,143000
944,1344,3,1,0,137500
945,1869,2,1,0,124900
946,1144,3,1,0,143000
947,1629,3,2,0,270000
948,1776,3,2,1,192500
949,1381,3,1,1,197500
950,864,3,1,0,129000
951,965,3,1,0,119900
952,768,2,1,0,133900
953,1968,4,2,1,172000
954,980,4,2,0,127500
955,1958,4,2,0,145000
956,1229,2,1,1,124000
957,1057,3,1,0,132000
958,1337,3,2,0,185000
959,1416,3,2,1,155000
960,858,2,1,0,116500
961,2872,4,2,1,272000
962,1548,3,2,1,155000
963,1800,2,2,0,239000
964,1894,4,2,1,214900
965,1484,3,2,1,178900
966,1308,2,1,1,160000
967,1098,3,1,0,135000
968,968,2,1,0,37900
969,1095,2,1,0,140000
970,1192,4,1,1,135000
971,1626,2,2,0,173000
972,918,2,2,0,99500
973,1428,3,2,0,182000
974,2019,3,1,0,167500
975,1382,3,2,1,165000
976,869,2,1,0,85500
977,1241,1,1,1,199900
978,894,3,1,0,110000
979,1121,3,1,0,139000
980,999,3,1,0,178400
981,2612,4,2,1,336000
982,1266,2,2,0,159895
983,2290,4,2,1,255900
984,1734,4,2,0,126000
985,1164,3,1,0,125000
986,1635,2,1,0,117000
987,1940,3,2,1,395192
988,2030,4,2,1,195000
989,1576,3,2,1,197000
990,2392,3,2,1,348000
991,1742,4,1,1,168000
992,1851,3,2,1,187000
993,1500,3,2,1,173900
994,1718,3,2,0,337500
995,1230,3,1,1,121600
996,1050,3,1,0,136500
997,1442,2,2,0,185000
998,1077,3,1,0,91000
999,1208,2,2,0,206000
1000,944,2,1,0,82000
1001,691,2,1,0,86000
1002,1574,3,2,0,232000
1003,1680,4,2,0,136905
1004,1504,1,2,0,181000
